City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Mundi,IN,22.0667,76.5,91.78,36,2,21.27,clear sky
250,East London,ZA,-33.0153,27.9116,58.14,94,0,4.61,clear sky
251,Mumford,GH,5.2618,-0.759,77.72,89,100,14.45,heavy intensity rain
252,Sheregesh,RU,52.9209,87.9869,55.56,59,2,4.7,clear sky
253,George,ZA,-33.963,22.4617,56.75,67,0,2.3,clear sky
254,Uusikaupunki,FI,60.8004,21.4084,52.47,53,100,1.83,overcast clouds
255,Bandarbeyla,SO,9.4942,50.8122,80.8,83,93,24.34,overcast clouds
256,Codrington,AU,-38.2667,141.9667,44.47,92,7,7.02,clear sky
257,Maryborough,AU,-25.5333,152.7,64.72,95,100,10.85,overcast clouds
258,Jacqueville,CI,5.2052,-4.4146,77.79,87,100,15.5,moderate rain
259,Looc,PH,12.2605,121.9926,80.53,81,70,4.32,broken clouds
260,Kirkuk,IQ,35.4681,44.3922,81.25,16,79,9.73,broken clouds
261,Charlestown,AU,-32.95,151.6667,57.11,98,89,6.91,overcast clouds
262,Itarema,BR,-2.9248,-39.9167,83.48,73,23,8.95,few clouds
263,Mokshan,RU,53.4365,44.6132,43.86,65,63,3.4,broken clouds
264,Kuhdasht,IR,33.535,47.6061,68.76,16,90,10.4,overcast clouds
265,Pitimbu,BR,-7.4706,-34.8086,86.59,73,58,13.31,broken clouds
266,Ipilan,PH,8.8431,117.9033,80.82,83,100,6.73,overcast clouds
267,Sun Valley,US,39.5963,-119.776,60.04,24,0,4.0,clear sky
268,Rayong,TH,12.8333,101.4333,83.79,94,100,9.98,overcast clouds
269,Pevek,RU,69.7008,170.3133,31.03,88,100,5.3,overcast clouds
270,Fairview,US,40.8126,-73.999,91.78,61,0,4.61,clear sky
271,Akodia,IN,23.3833,76.6,93.76,24,0,18.63,clear sky
272,Pedro Ii,BR,-4.4247,-41.4586,84.34,50,55,1.72,broken clouds
273,Tarata,BO,-17.6167,-66.0167,71.02,15,98,2.42,overcast clouds
274,Beloha,MG,-25.1667,45.05,70.52,57,63,7.58,broken clouds
275,Fukue,JP,32.6881,128.8419,67.06,79,0,10.87,clear sky
276,Cururupu,BR,-1.8283,-44.8683,82.92,74,44,4.16,scattered clouds
277,Rundu,NA,-17.9333,19.7667,56.79,19,1,4.0,clear sky
278,Kalakamati,BW,-20.5929,27.3121,52.9,30,1,7.07,clear sky
279,Lewiston,US,44.1003,-70.2148,67.62,88,100,1.01,overcast clouds
280,Kavaratti,IN,10.5669,72.642,83.3,79,100,18.14,overcast clouds
281,Georgetown,MY,5.4112,100.3354,82.35,88,20,5.01,few clouds
282,Avera,US,33.194,-82.5271,87.55,43,32,6.26,scattered clouds
283,Slave Lake,CA,55.2834,-114.769,40.98,75,0,4.61,clear sky
284,Alpena,US,45.0617,-83.4327,68.11,58,0,3.44,clear sky
285,Bogalusa,US,30.791,-89.8487,89.35,62,75,14.97,broken clouds
286,Zuenoula,CI,7.4292,-6.0431,85.46,64,75,8.08,light rain
287,Bilibino,RU,68.0546,166.4372,38.21,85,100,1.74,overcast clouds
288,Alice Springs,AU,-23.7,133.8833,45.95,61,66,0.0,broken clouds
289,Tampere,FI,61.4991,23.7871,60.17,29,0,8.05,clear sky
290,Svetlogorsk,BY,52.6333,29.7333,54.88,97,100,6.55,overcast clouds
291,Voznesenye,RU,61.0106,35.4781,41.4,61,22,6.22,few clouds
292,Kintampo,GH,8.0563,-1.7306,73.29,85,100,4.41,overcast clouds
293,Pacific Grove,US,36.6177,-121.9166,63.21,83,0,3.44,clear sky
294,Nouakchott,MR,18.0858,-15.9785,76.93,74,43,18.01,scattered clouds
295,Berbera,SO,10.4396,45.0143,92.62,43,73,3.58,broken clouds
296,Palu,ID,-0.8917,119.8707,75.85,99,100,1.79,overcast clouds
297,San Mateo Del Mar,MX,16.2,-95.0,83.84,70,100,18.19,overcast clouds
298,Griffith,US,41.5284,-87.4237,62.53,84,40,13.8,scattered clouds
299,Lavrentiya,RU,65.5833,-171.0,35.33,83,96,7.78,overcast clouds
300,Yashkul,RU,46.1711,45.3435,54.91,88,100,5.06,overcast clouds
301,Nikolskoye,RU,59.7035,30.7861,53.49,47,10,11.77,clear sky
302,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,71,0,6.91,clear sky
303,Berlevag,NO,70.8578,29.0864,41.0,87,100,13.8,light rain
